Date,DailyTests,DailyConfirmed,DailyDeaths,DailyRecovered,Tests,Confirmed,Deaths,Recovered,Pneumonia,SeriouslyIll
2020-03-11,0,0,0,0,0,1,0,0,0.0,0
2020-03-12,0,0,0,0,0,1,0,0,0.0,0
2020-03-13,0,0,0,0,0,5,0,0,0.0,0
2020-03-14,0,0,0,0,0,6,0,0,0.0,0
2020-03-15,0,0,0,0,0,18,0,0,0.0,0
2020-03-16,0,0,0,0,0,47,0,0,0.0,0
2020-03-17,0,0,0,0,0,98,1,0,0.0,0
2020-03-18,0,0,0,0,0,191,2,0,0.0,0
2020-03-19,0,0,0,0,0,359,4,0,0.0,0
2020-03-20,0,0,0,0,0,670,9,0,0.0,0
2020-03-21,0,0,0,0,0,947,21,0,0.0,0
2020-03-22,0,0,0,0,0,1236,30,0,0.0,0
2020-03-23,0,0,0,0,0,1529,37,0,0.0,0
2020-03-24,0,0,0,0,0,1872,44,0,0.0,0
2020-03-25,0,0,0,0,0,2433,59,0,0.0,0
2020-03-26,0,0,0,0,0,3629,75,0,0.0,0
2020-03-27,7533,2069,17,0,47823,5698,92,42,0.0,0
2020-03-28,7641,1704,16,0,55464,7402,108,70,0.0,0
2020-03-29,9982,1815,23,0,65446,9217,131,105,0.0,0
2020-03-30,11535,1610,37,0,76981,10827,168,162,0.0,0
2020-03-31,15422,2704,46,0,92403,13531,214,243,0.0,0
2020-04-01,14396,2148,63,0,106799,15679,277,333,0.0,0
2020-04-02,18757,2456,79,0,125556,18135,356,415,0.0,0
2020-04-03,16160,2786,69,0,141716,20921,425,484,0.0,0
2020-04-04,19664,3013,76,302,161380,23934,501,786,0.0,0
2020-04-05,20065,3135,73,256,181445,27069,574,1042,0.0,0
2020-04-06,21400,3148,75,284,202845,30217,649,1326,0.0,0
2020-04-07,20023,3892,76,256,222868,34109,725,1582,0.0,0
2020-04-08,24900,4117,87,264,247768,38226,812,1846,0.0,0
2020-04-09,28578,4056,96,296,276338,42282,908,2142,0.0,0
2020-04-10,30864,4747,98,281,307210,47029,1006,2423,0.0,0
2020-04-11,33170,5138,95,542,340380,52167,1101,2965,0.0,0
2020-04-12,35720,4789,97,481,376100,56956,1198,3446,0.0,0
2020-04-13,34456,4093,98,511,410556,61049,1296,3957,0.0,0
2020-04-14,33070,4062,107,842,443626,65111,1403,4799,0.0,0
2020-04-15,34090,4291,115,875,477716,69392,1518,5674,0.0,0
2020-04-16,40427,4801,125,1415,518143,74193,1643,7089,0.0,0
2020-04-17,40270,4353,126,1542,558413,78546,1769,8631,0.0,0
2020-04-18,40520,3783,121,1822,598933,82329,1890,10453,0.0,0
2020-04-19,35344,3977,127,1523,634277,86306,2017,11976,0.0,0
2020-04-20,39703,4674,123,1454,673980,90980,2140,13430,0.0,0
2020-04-21,39429,4611,119,1488,713409,95591,2259,14918,0.0,0
2020-04-22,37535,3083,117,1559,750944,98674,2376,16477,0.0,0
2020-04-23,40962,3116,115,2014,791906,101790,2491,18491,0.0,0
2020-04-24,38351,3122,109,3246,830257,104912,2600,21737,0.0,0
2020-04-25,38308,2861,106,3845,868565,107773,2706,25582,0.0,0
2020-04-26,30177,2357,99,3558,898742,110130,2805,29140,0.0,0
2020-04-27,20143,2131,95,4651,918885,112261,2900,33791,0.0,0
2020-04-28,29230,2392,92,5018,948115,114653,2992,38809,0.0,0
